codePostaux;codeCommune;nomCommune;libelleAcheminement;Id
32300;32401;Saint-Ost;SAINT-OST;8952
32190;32402;Saint-Paul-de-Baïse;SAINT-PAUL-DE-BAISE;8953
32290;32403;Saint-Pierre-d'Aubézies;SAINT-PIERRE-D AUBEZIES;8954
32310;32404;Saint-Puy;SAINT-PUY;8955
32500;32405;Sainte-Radegonde;SAINTE-RADEGONDE;8956
32270;32406;Saint-Sauvy;SAINT-SAUVY;8957
32220;32407;Saint-Soulan;SAINT-SOULAN;8958
32370;32408;Salles-d'Armagnac;SALLES-D ARMAGNAC;8959
32140;32409;Samaran;SAMARAN;8960
32130;32410;Samatan;SAMATAN;8961
32260;32411;Sansan;SANSAN;8962
32450;32412;Saramon;SARAMON;8963
32420;32413;Sarcos;SARCOS;8964
32400;32414;Sarragachies;SARRAGACHIES;8965
32170;32415;Sarraguzan;SARRAGUZAN;8966
32120;32416;Sarrant;SARRANT;8967
32500;32417;La Sauvetat;LA SAUVETAT;8968
32220;32418;Sauveterre;SAUVETERRE;8969
32300;32419;Sauviac;SAUVIAC;8970
32220;32420;Sauvimont;SAUVIMONT;8971
32130;32421;Savignac-Mona;SAVIGNAC-MONA;8972
32230;32422;Scieurac-et-Flourès;SCIEURAC-ET-FLOURES;8973
32190;32423;Séailles;SEAILLES;8974
32400;32424;Ségos;SEGOS;8975
32600;32425;Ségoufielle;SEGOUFIELLE;8976
32260;32426;Seissan;SEISSAN;8977
32230;32427;Sembouès;SEMBOUES;8978
32450;32428;Sémézies-Cachan;SEMEZIES-CACHAN;8979
32700;32429;Sempesserre;SEMPESSERRE;8980
32140;32430;Sère;SERE;8981
32120;32431;Sérempuy;SEREMPUY;8982
32130;32432;Seysses-Savès;SEYSSES-SAVES;8983
32420;32433;Simorre;SIMORRE;8984
32110;32434;Sion;SION;8985
32430;32435;Sirac;SIRAC;8986
32120;32436;Solomiac;SOLOMIAC;8987
32110;32437;Sorbets;SORBETS;8988
32260;32438;Tachoires;TACHOIRES;8989
32400;32439;Tarsac;TARSAC;8990
